URLSimilarityIndex,HasSocialNet,NoOfJS,NoOfImage,HasDescription,IsHTTPS,label
76.53061224,0,0,0,0,0,0
76.53061224,0,0,0,0,0,0
76.53061224,0,0,0,0,0,0
76.53061224,0,0,0,1,0,0
76.53061224,0,0,0,0,0,0
76.53061224,0,0,0,0,0,0
76.53061224,0,0,0,0,0,0
76.53061224,0,0,0,0,0,0
77.28395062,0,1,0,0,1,0
77.28395062,0,0,0,0,1,0
77.28395062,0,0,0,0,1,0
78.47222222,0,0,0,0,0,0
79.16666667,0,0,0,0,0,0
79.16666667,0,0,0,0,0,0
80.0,0,0,0,0,0,0
80.36363636,0,0,0,0,0,0
80.95238095,0,0,0,0,0,0
80.95238095,0,0,0,0,0,0
80.95238095,0,0,0,0,0,0
80.95238095,0,0,0,0,0,0
82.18181818,0,0,0,0,0,0
82.53968254,0,0,0,0,0,0
82.53968254,0,0,0,0,0,0
82.53968254,0,0,0,0,0,0
82.53968254,0,0,0,0,0,0
82.90909091,0,0,0,0,0,0
84.69387755,0,0,0,0,0,0
84.69387755,0,0,0,0,0,0
85.71428571,0,0,0,0,0,0
85.71428571,0,0,0,0,0,0
85.71428571,0,0,0,0,0,0
85.71428571,0,0,0,0,0,0
85.71428571,0,0,0,0,0,0
85.71428571,0,0,0,0,0,0
87.75510204,0,0,0,0,0,0
87.90123457,0,0,1,0,1,0
88.39506173,0,0,2,0,0,0
88.7755102,0,0,0,0,0,0
88.7755102,0,0,0,0,0,0
88.7755102,0,0,0,0,0,0
88.7755102,0,0,0,0,0,0
88.7755102,0,0,0,0,0,0
88.7755102,0,0,0,0,0,0
88.7755102,0,0,0,0,0,0
88.7755102,0,0,0,0,0,0
88.7755102,0,0,0,0,0,0
88.7755102,0,0,0,0,0,0
88.7755102,0,1,0,0,0,0
100.0,0,10,10,1,1,1
100.0,1,38,8,1,1,1
100.0,1,20,34,1,1,1
100.0,1,21,27,1,1,1
100.0,1,6,25,1,1,1
100.0,1,12,185,1,1,1
100.0,0,8,13,1,1,1
100.0,1,11,22,1,1,1
100.0,1,19,52,1,1,1
100.0,1,10,33,0,1,1
100.0,1,15,54,0,1,1
100.0,0,18,1,0,1,1
100.0,1,26,13,1,1,1
100.0,0,13,11,0,1,1
100.0,1,19,29,0,1,1
100.0,1,4,12,1,1,1
100.0,1,8,46,1,1,1
100.0,1,16,185,0,1,1
100.0,0,0,0,0,0,0
100.0,0,1,2,0,1,1
100.0,1,27,110,1,1,1
100.0,1,14,22,1,1,1
100.0,1,13,131,1,1,1
100.0,1,10,81,1,1,1
100.0,1,62,78,1,1,1
100.0,1,27,17,0,1,1
100.0,0,4,8,0,1,1
100.0,1,10,2,1,1,1
100.0,0,5,2,1,1,1
100.0,1,7,10,0,1,1
100.0,0,9,2,0,1,1
100.0,0,27,2,0,1,1
100.0,1,19,7,0,1,1
100.0,1,23,534,1,1,1
100.0,1,31,139,1,1,1
100.0,1,26,31,1,1,1
100.0,0,6,6,0,1,1
100.0,1,12,87,0,1,1
100.0,1,12,14,0,1,1
100.0,1,10,26,1,1,1
100.0,0,9,4,1,1,1
100.0,1,3,5,1,1,1
100.0,1,1,14,1,1,1
100.0,1,65,31,0,1,1
100.0,1,10,29,1,1,1
100.0,1,22,87,1,1,1
100.0,1,21,9,0,1,1
100.0,1,22,115,1,1,1
100.0,1,3,37,0,1,1
100.0,1,9,25,0,1,1
100.0,1,30,14,1,1,1
100.0,1,22,31,0,1,1
100.0,1,15,18,1,1,1
100.0,1,4,37,0,1,1
100.0,1,10,26,1,1,1
100.0,1,4,7,1,1,1
100.0,1,16,39,1,1,1
100.0,1,17,12,0,1,1
100.0,1,4,25,1,1,1
100.0,1,21,23,1,1,1
100.0,1,13,13,1,1,1
100.0,1,2,18,0,1,1
100.0,1,17,52,1,1,1
100.0,1,11,21,1,1,1
100.0,1,33,53,1,1,1
100.0,1,33,19,0,1,1
100.0,1,10,40,1,1,1
100.0,1,13,58,1,1,1
100.0,1,5,45,1,1,1
100.0,1,18,10,1,1,1
100.0,1,13,11,0,1,1
100.0,0,12,22,0,1,1
100.0,1,12,19,1,1,1
100.0,1,16,26,1,1,1
100.0,1,7,15,1,1,1
100.0,1,6,18,1,1,1
100.0,1,10,15,1,1,1
100.0,1,16,43,1,1,1
100.0,0,15,399,1,1,1
100.0,1,38,189,0,1,1
100.0,1,6,5,1,1,1
100.0,1,3,54,1,1,1
100.0,1,1,8,1,1,1
100.0,1,8,22,0,1,1
100.0,1,7,25,0,1,1
100.0,1,3,157,1,1,1
100.0,1,14,72,1,1,1
100.0,1,5,21,0,1,1
100.0,1,4,15,0,1,1
100.0,1,10,17,1,1,1
100.0,1,14,10,1,1,1
100.0,0,12,31,1,1,1
100.0,1,19,49,0,1,1
100.0,1,45,28,0,1,1
100.0,1,8,17,0,1,1
100.0,1,23,16,0,1,1
100.0,1,1,22,0,1,1
100.0,1,11,14,1,1,1
100.0,1,14,30,1,1,1
100.0,1,28,48,1,1,1
100.0,1,42,40,0,1,1
100.0,1,17,8,1,1,1
100.0,1,15,80,1,1,1
100.0,1,29,26,0,1,1
100.0,1,32,17,0,1,1
100.0,1,25,13,1,1,1
100.0,0,3,9,1,1,1
100.0,1,10,166,1,1,1
100.0,0,13,167,1,1,1
100.0,0,7,9,0,1,1
100.0,1,23,341,1,1,1
100.0,1,12,9,0,1,1
100.0,1,21,67,1,1,1
100.0,0,9,23,0,1,1
100.0,1,10,41,1,1,1
100.0,1,5,135,1,1,1
100.0,1,4,45,1,1,1
100.0,1,25,94,0,1,1
100.0,1,9,22,0,1,1
100.0,0,33,7,0,1,1
100.0,1,8,103,0,1,1
100.0,1,63,64,1,1,1
100.0,1,54,7,1,1,1
100.0,1,23,59,1,1,1
100.0,1,24,34,1,1,1
100.0,1,19,86,0,1,1
100.0,1,21,25,1,1,1
100.0,1,17,9,1,1,1
100.0,0,0,0,0,0,0
100.0,1,22,28,1,1,1
100.0,1,9,3,1,1,1
100.0,0,0,0,0,0,0
100.0,0,0,0,0,0,0
100.0,1,6,16,1,1,1
44.36363636,0,0,0,0,1,0
44.36363636,0,0,0,0,1,0
46.93877551,0,0,0,0,0,0
47.38292011,0,0,0,0,1,0
47.90123457,0,0,0,0,1,0
47.95918367,0,1,0,0,0,0
49.58677686,0,0,0,0,0,0
50.54545455,0,0,0,0,0,0
55.09641873,0,0,0,0,0,0
55.92286501,0,0,0,0,1,0
57.14285714,0,0,0,0,0,0
58.54545455,0,1,0,0,1,0
59.63636364,0,0,0,0,0,0
60.0,0,0,0,0,1,0
60.36363636,0,0,0,0,0,0
61.98347107,0,0,0,0,0,0
62.07264957,0,0,0,0,0,0
62.15277778,0,0,0,0,0,0
62.15277778,0,0,0,0,0,0
62.24489796,0,1,0,0,0,0
63.54166667,0,0,0,0,0,0
63.54166667,0,0,0,0,0,0
63.54166667,0,0,0,0,0,0
64.46280992,0,0,0,1,1,0
64.93055556,0,0,0,0,0,0
64.93055556,0,0,0,0,0,0
65.625,0,0,0,0,0,0
66.31944444,0,0,0,0,0,0
67.01388889,0,0,0,0,0,0
67.01388889,0,0,0,0,0,0
67.01388889,0,0,0,0,0,0
67.63636364,0,0,2,0,1,0
68.14814815,0,1,0,0,1,0
68.36734694,0,1,0,0,0,0
69.01709402,0,0,0,0,0,0
69.45454545,0,0,0,0,0,0
69.62962963,0,2,1,0,0,0
69.81818182,0,0,0,0,1,0
70.40816327,0,0,0,0,0,0
70.40816327,0,0,0,0,0,0
70.90909091,0,0,0,0,0,0
71.42857143,0,0,0,0,0,0
72.17630854,0,0,0,0,0,0
72.45179063,0,0,0,0,0,0
72.45179063,0,0,0,0,0,0
72.45179063,0,0,0,0,0,0
72.45179063,0,0,0,0,0,0
72.45179063,0,0,0,0,0,0
72.45179063,0,0,0,0,0,0
73.00275482,0,0,0,0,0,0
73.3974359,0,0,0,0,0,0
73.46938776,0,0,0,0,0,0
73.46938776,0,0,0,0,0,0
73.61111111,0,0,2,0,0,0
73.61111111,0,2,0,0,0,0
73.61111111,0,0,0,0,0,0
73.61111111,0,2,0,1,0,0
74.48979592,0,0,0,0,0,0
74.89316239,0,0,0,0,0,0
76.38888889,0,0,0,0,0,0
76.38888889,0,0,0,0,0,0
76.38888889,0,0,0,0,0,0
76.53061224,0,0,0,0,0,0
76.53061224,0,0,0,0,0,0
76.53061224,0,0,0,0,0,0
76.6025641,0,0,0,0,0,0
77.08333333,0,0,0,0,0,0
77.08333333,0,0,0,0,0,0
77.08333333,0,0,0,0,0,0
77.08333333,0,0,0,0,0,0
77.08333333,0,1,0,0,0,0
77.08333333,0,0,0,0,0,0
78.18181818,0,0,0,0,0,0
78.90909091,0,1,0,0,0,0
79.16666667,0,0,0,0,0,0
79.16666667,0,0,0,0,0,0
79.16666667,0,0,0,0,0,0
79.16666667,0,0,0,0,0,0
79.16666667,0,0,0,0,0,0
79.27272727,0,5,4,1,0,0
80.44077135,0,0,0,0,0,0
81.2345679,0,0,0,0,0,0
81.26721763,0,0,0,0,0,0
81.26721763,0,0,0,0,0,0
81.54269972,0,0,0,0,0,0
81.54269972,0,0,0,0,0,0
81.54269972,0,0,0,0,0,0
81.54269972,0,0,0,0,0,0
82.47863248,0,0,0,0,0,0
82.90909091,0,0,0,0,0,0
83.67346939,0,0,0,0,0,0
83.67346939,0,0,0,0,0,0
83.67346939,0,1,0,1,0,0
83.67346939,0,0,0,0,0,0
83.67346939,0,0,0,0,0,0
83.76068376,0,0,0,0,0,0
84.02203857,0,0,0,0,1,0
84.02203857,0,0,0,0,1,0
84.69387755,0,0,0,0,0,0
84.69387755,0,0,0,0,0,0
84.69387755,0,0,0,0,0,0
85.71428571,0,1,0,0,0,0
85.71428571,0,0,0,0,0,0
85.76388889,0,0,0,0,0,0
85.76388889,0,0,0,0,0,0
86.45833333,0,0,0,0,0,0
86.45833333,0,2,0,1,0,0
86.45833333,0,2,0,1,0,0
86.45833333,0,0,0,0,0,0
87.15277778,0,0,0,0,0,0
87.15277778,0,0,0,0,0,0
87.15277778,0,0,0,0,0,0
87.15277778,0,0,0,0,0,0
87.15277778,0,0,0,0,0,0
87.15277778,0,0,0,0,0,0
87.15277778,0,0,0,0,0,0
87.75510204,0,0,0,0,0,0
87.75510204,0,0,0,0,0,0
88.7755102,0,0,0,0,0,0
88.7755102,0,0,0,0,0,0
89.93055556,0,0,0,0,0,0
89.93055556,0,0,1,0,0,0
89.93055556,0,0,0,0,0,0
89.93055556,0,0,0,0,0,0
89.93055556,0,0,0,0,0,0
100.0,0,3,4,1,1,1
100.0,1,12,748,1,1,1
100.0,1,9,33,1,1,1
100.0,1,11,16,1,1,1
100.0,1,31,23,0,1,1
100.0,1,7,4,1,1,1
100.0,1,2,20,0,1,1
100.0,0,3,20,1,1,1
100.0,1,11,13,0,1,1
100.0,1,33,54,1,1,1
100.0,1,14,33,1,1,1
100.0,1,22,11,0,1,1
100.0,0,0,0,0,0,0
100.0,0,6,19,1,1,1
100.0,1,9,46,0,1,1
100.0,1,7,47,1,1,1
100.0,0,0,0,0,0,0
100.0,1,23,69,1,1,1
100.0,1,13,44,1,1,1
100.0,1,14,15,1,1,1
100.0,1,13,15,1,1,1
100.0,1,33,11,1,1,1
100.0,1,18,79,1,1,1
100.0,0,9,6,0,1,1
100.0,1,16,35,1,1,1
100.0,1,5,144,1,1,1
100.0,1,8,12,1,1,1
100.0,1,7,836,1,1,1
100.0,1,5,31,1,1,1
100.0,1,26,93,0,1,1
100.0,1,10,55,1,1,1
100.0,1,6,8,0,1,1
100.0,1,7,25,1,1,1
100.0,1,28,48,1,1,1
100.0,1,11,2,1,1,1
100.0,0,10,41,0,1,1
100.0,0,5,54,1,1,1
100.0,1,80,20,1,1,1
100.0,1,11,138,1,1,1
100.0,1,3,36,1,1,1
100.0,0,31,11,1,1,1
100.0,1,16,19,0,1,1
100.0,1,21,37,1,1,1
100.0,1,3,52,1,1,1
100.0,0,18,11,0,1,1
100.0,1,8,5,1,1,1
100.0,1,24,30,1,1,1
100.0,1,13,136,1,1,1
100.0,1,26,12,0,1,1
100.0,0,14,40,0,1,1
100.0,1,28,106,1,1,1
100.0,1,10,16,0,1,1
100.0,1,10,32,1,1,1
100.0,0,2,2,1,1,1
100.0,0,0,0,0,0,0
100.0,0,24,46,1,1,1
100.0,1,21,96,1,1,1
100.0,1,2,4,1,1,1
100.0,1,21,21,1,1,1
100.0,1,8,26,0,1,1
100.0,1,36,20,0,1,1
100.0,1,18,30,1,1,1
100.0,1,6,22,0,1,1
100.0,1,13,13,1,1,1
100.0,0,5,4,1,1,1
100.0,0,4,10,1,1,1
100.0,1,22,146,0,1,1
100.0,0,8,7,0,1,1
100.0,1,33,19,0,1,1
100.0,0,35,116,1,1,1
100.0,0,52,23,1,1,1
100.0,1,59,24,1,1,1
100.0,1,10,4,1,1,1
100.0,1,12,8,1,1,1
100.0,1,16,20,1,1,1
100.0,0,2,11,1,1,1
100.0,1,1,11,0,1,1
100.0,1,2,1,1,1,1
100.0,0,10,61,1,1,1
100.0,1,7,27,1,1,1
100.0,1,7,190,1,1,1
100.0,1,20,687,1,1,1
100.0,1,14,70,1,1,1
100.0,1,3,34,1,1,1
100.0,1,7,6,1,1,1
100.0,0,6,23,1,1,1
100.0,1,10,46,1,1,1
100.0,1,31,64,1,1,1
100.0,1,23,8,1,1,1
100.0,1,7,115,1,1,1
100.0,1,57,382,1,1,1
100.0,1,10,4,1,1,1
100.0,1,6,12,1,1,1
100.0,0,7,5,1,1,1
100.0,1,44,73,1,1,1
100.0,1,8,32,1,1,1
100.0,1,6,2,1,1,1
100.0,0,6,9,1,1,1
100.0,1,16,1,1,1,1
100.0,1,23,22,0,1,1
100.0,1,7,60,1,1,1
100.0,0,12,47,1,1,1
100.0,0,5,13,1,1,1
100.0,1,18,11,1,1,1
100.0,1,20,65,1,1,1
100.0,1,62,57,1,1,1
100.0,1,13,40,0,1,1
100.0,0,7,5,1,1,1
100.0,1,29,326,1,1,1
100.0,1,49,38,1,1,1
100.0,1,5,50,1,1,1
100.0,1,7,2,1,1,1
100.0,1,68,19,1,1,1
100.0,1,10,1,0,1,1
100.0,1,11,24,1,1,1
100.0,1,39,31,0,1,1
100.0,1,9,8,1,1,1
100.0,1,10,8,0,1,1
100.0,1,15,75,0,1,1
100.0,1,14,30,0,1,1
100.0,1,19,318,1,1,1
100.0,1,13,33,1,1,1
100.0,0,6,25,1,1,1
100.0,1,14,20,1,1,1
100.0,1,9,9,1,1,1
100.0,1,7,14,0,1,1
100.0,1,10,21,1,1,1
100.0,1,8,132,1,1,1
100.0,1,17,14,1,1,1
100.0,1,14,32,1,1,1
100.0,1,9,8,0,1,1
100.0,1,10,55,1,1,1
100.0,1,13,1,1,1,1
100.0,1,20,49,1,1,1
100.0,1,6,12,0,1,1
100.0,1,9,38,0,1,1
100.0,1,15,10,1,1,1
100.0,1,20,4,1,1,1
100.0,1,14,15,1,1,1
100.0,0,46,3,1,1,1
100.0,1,17,48,1,1,1
100.0,1,22,20,0,1,1
100.0,1,10,18,0,1,1
100.0,1,6,46,1,1,1
100.0,1,4,13,1,1,1
100.0,1,43,38,1,1,1
100.0,1,9,41,1,1,1
100.0,1,7,26,1,1,1
100.0,1,21,13,1,1,1
100.0,1,7,30,0,1,1
100.0,1,11,2,0,1,1
100.0,0,4,3,0,1,1
100.0,0,13,1,0,1,1
100.0,1,9,41,0,1,1
100.0,1,16,37,1,1,1
100.0,1,12,51,0,1,1
100.0,1,65,74,0,1,1
100.0,1,5,11,0,1,1
100.0,0,2,16,0,1,1
100.0,1,37,60,1,1,1
100.0,1,23,80,1,1,1
100.0,0,4,3,1,1,1
100.0,1,42,85,1,1,1
100.0,0,6,34,1,1,1
100.0,0,12,32,1,1,1
100.0,0,14,53,1,1,1
100.0,1,8,22,1,1,1
100.0,1,17,16,0,1,1
100.0,0,0,0,0,0,0
100.0,1,21,64,1,1,1
100.0,1,14,142,1,1,1
100.0,0,9,3,1,1,1
100.0,1,7,29,1,1,1
100.0,1,11,95,1,1,1
100.0,1,16,47,1,1,1
100.0,0,4,26,1,1,1
100.0,1,43,24,1,1,1
100.0,1,14,99,1,1,1
100.0,1,3,87,0,1,1
100.0,1,6,15,1,1,1
100.0,1,12,71,1,1,1
100.0,1,10,7,0,1,1
100.0,1,21,29,1,1,1
100.0,1,3,76,0,1,1
100.0,1,19,35,0,1,1
100.0,1,7,55,1,1,1
100.0,1,12,8,1,1,1
100.0,0,12,56,0,1,1
100.0,1,5,200,1,1,1
100.0,1,12,22,1,1,1
100.0,1,7,26,1,1,1
100.0,1,8,18,1,1,1
100.0,1,10,38,1,1,1
100.0,1,23,36,1,1,1
100.0,0,3,5,1,1,1
100.0,1,12,29,0,1,1
100.0,0,23,33,1,1,1
100.0,1,42,56,1,1,1
100.0,1,2,119,1,1,1
100.0,1,26,10,1,1,1
100.0,1,4,103,1,1,1
100.0,1,17,25,1,1,1
100.0,1,39,187,1,1,1
100.0,1,1,31,1,1,1
100.0,1,31,49,1,1,1
100.0,1,11,27,1,1,1
100.0,1,3,99,0,1,1
100.0,1,12,19,1,1,1
100.0,1,33,17,1,1,1
100.0,1,3,11,0,1,1
100.0,1,19,5,1,1,1
100.0,1,16,19,1,1,1
100.0,1,32,16,1,1,1
100.0,1,8,173,0,1,1
100.0,1,9,50,0,1,1
100.0,1,28,31,1,1,1
100.0,1,27,59,0,1,1
100.0,1,46,26,0,1,1
100.0,1,4,32,1,1,1
100.0,1,53,19,1,1,1
100.0,1,24,21,1,1,1
100.0,1,7,29,0,1,1
100.0,1,4,45,1,1,1
100.0,1,9,14,1,1,1
100.0,1,3,1,1,1,1
100.0,1,41,70,1,1,1
100.0,1,16,29,0,1,1
100.0,1,21,70,1,1,1
100.0,1,40,8,1,1,1
100.0,1,5,13,0,1,1
100.0,1,6,26,1,1,1
100.0,1,13,8,0,1,1
100.0,1,9,9,1,1,1
100.0,1,1,15,1,1,1
100.0,1,9,25,0,1,1
100.0,1,6,15,1,1,1
100.0,1,13,25,0,1,1
100.0,0,0,0,0,0,0
100.0,1,23,55,1,1,1
100.0,1,46,117,1,1,1
100.0,1,23,28,1,1,1
100.0,1,47,31,1,1,1
100.0,1,43,109,1,1,1
100.0,1,28,101,0,1,1
100.0,1,23,29,1,1,1
100.0,1,11,41,1,1,1
100.0,1,50,323,1,1,1
100.0,1,6,96,1,1,1
100.0,1,25,11,1,1,1
100.0,0,4,20,0,1,1
100.0,1,29,51,1,1,1
100.0,0,7,25,1,1,1
100.0,1,3,1,0,1,1
100.0,0,12,25,1,1,1
100.0,1,12,19,1,1,1
100.0,1,20,89,1,1,1
100.0,1,12,89,1,1,1
100.0,1,19,63,1,1,1
100.0,1,21,93,1,1,1
100.0,1,22,32,1,1,1
100.0,0,12,16,0,1,1
100.0,0,8,56,1,1,1
100.0,1,15,65,1,1,1
100.0,1,7,32,1,1,1
100.0,1,10,50,0,1,1
100.0,1,10,170,1,1,1
100.0,1,19,60,1,1,1
100.0,1,6,21,1,1,1
100.0,0,0,0,0,0,0
100.0,1,22,69,0,1,1
100.0,1,7,38,1,1,1
100.0,1,11,54,1,1,1
100.0,1,5,3,0,1,1
100.0,0,0,1,0,0,0
36.11111111,0,0,0,0,0,0
39.66942149,0,0,0,0,1,0
45.19230769,0,0,0,0,0,0
45.40598291,0,0,0,0,1,0
45.40598291,0,1,0,1,1,0
45.40598291,0,0,0,0,1,0
49.58677686,0,0,0,0,1,0
49.58677686,0,0,0,0,1,0
51.27272727,0,0,0,0,0,0
52.59259259,0,0,0,0,0,0
53.71900826,0,0,0,0,0,0
55.09641873,0,1,0,0,1,0
55.37190083,0,0,0,0,0,0
56.04938272,0,0,0,0,0,0
56.4738292,0,2,0,0,1,0
57.57575758,0,0,0,0,1,0
58.40220386,0,0,0,0,0,0
58.90909091,0,0,2,0,1,0
59.01234568,0,0,0,0,0,0
59.01234568,0,0,0,0,0,0
59.50617284,0,0,0,0,0,0
59.50617284,0,0,0,0,0,0
59.50617284,0,0,1,0,0,0
60.0,0,0,0,0,0,0
60.49382716,0,3,0,0,0,0
60.86221471,0,0,0,0,0,0
61.09090909,0,0,0,0,0,0
61.43250689,0,0,0,0,0,0
61.81818182,0,1,0,0,1,0
62.07264957,0,0,0,0,0,0
62.07264957,0,0,0,0,1,0
62.18181818,0,0,0,0,0,0
62.53443526,0,0,0,0,0,0
62.84722222,0,0,0,0,0,0
62.8909552,0,0,0,0,0,0
62.90909091,0,0,0,0,0,0
63.08539945,0,0,0,0,0,0
63.36088154,0,0,0,0,0,0
63.54166667,0,1,0,0,0,0
63.63636364,0,0,0,0,0,0
63.91184573,0,0,0,0,1,0
63.91184573,0,0,0,0,0,0
64.0,0,0,0,0,0,0
64.19753086,0,0,0,0,0,0
64.46280992,0,0,0,0,1,0
64.69135802,0,0,0,0,0,0
64.73829201,1,3,2,0,0,0
64.91969569,0,0,0,0,0,0
64.91969569,0,0,0,0,0,0
64.91969569,0,0,0,0,0,0
64.93055556,0,0,0,0,0,0
65.0137741,0,2,4,0,0,0
65.0137741,0,0,0,0,0,0
65.67901235,0,0,0,0,0,0
66.02564103,0,0,0,0,0,0
66.17283951,0,0,0,0,0,0
66.17283951,0,1,0,0,0,0
66.17283951,0,0,0,0,0,0
66.17283951,0,1,0,0,0,0
66.31944444,0,0,0,0,0,0
66.45299145,0,0,0,0,0,0
66.66666667,0,1,0,0,0,0
66.66666667,0,4,0,0,0,0
67.01388889,0,0,0,0,0,0
67.01388889,0,0,0,0,0,0
67.09401709,0,8,0,1,0,0
67.16049383,0,0,0,0,0,0
67.16049383,0,0,0,0,0,0
67.16049383,0,0,0,0,0,0
67.16049383,0,0,0,0,0,0
67.65432099,0,0,0,0,0,0
67.65432099,0,0,0,0,0,0
67.70833333,0,1,0,0,0,0
